Training started at 2025-04-03 07:23:56
Model: VAE with latent_dim=2
Batch size: 256, Image size: 28x28
Total epochs: 500

Epoch,Avg_Loss,Recon_Loss,KL_Loss
224,113.194558,28.491367,22.201590
225,113.344237,30.035311,21.119207
226,113.240759,27.687023,21.955059
227,113.062313,28.795910,21.769331
228,113.147903,29.944321,22.038473
229,113.193808,29.367922,20.500526
230,113.081647,29.078453,21.881020
231,112.977738,30.314720,22.900129
232,113.187786,26.892094,22.031509
233,113.121588,29.217384,20.890697
234,113.078946,27.604618,24.186829
235,113.043096,30.497272,21.601959
236,112.923127,28.382212,20.889065
237,113.017254,29.419704,21.665398
238,113.015516,30.220940,21.083145
239,112.931629,26.894054,25.608475
240,113.161079,30.428272,23.045040
241,112.895748,30.556431,21.377134
242,112.833847,27.905212,21.836409
243,112.812597,30.322680,21.753403
244,112.922036,29.198074,23.841021
245,112.862115,27.604597,25.217934
246,112.833250,28.446806,23.911589
247,112.868493,28.390396,23.230457
248,112.780218,26.552286,24.609665
249,112.929988,29.286510,23.365995
250,112.849831,28.196520,25.094425
251,112.738335,27.473829,23.448120
252,112.695814,27.190592,22.107056
253,112.753444,28.728809,20.589298
254,112.758867,27.987213,25.757217
255,112.620630,28.656483,24.345259
256,112.752572,29.127613,23.903015
257,112.618947,30.837809,21.212446
258,112.540773,29.800278,23.433741
259,112.728091,32.288250,20.391670
260,112.588125,29.083450,21.661802
261,112.576648,28.027010,23.425293
262,112.715034,30.802984,22.318405
263,112.586952,27.956226,27.226643
264,112.544514,28.301376,23.233665
265,112.500422,26.689726,20.894943
266,112.560523,30.523106,19.901920
267,112.665666,27.787025,24.458210
268,112.581855,30.197117,21.382124
269,112.357772,26.625828,23.986374
270,112.534196,29.239214,23.316629
271,112.484276,28.130142,22.061201
272,112.399631,28.117270,23.605650
273,112.610295,29.185535,21.459393
274,112.467581,28.593702,24.237732
275,112.584398,29.453739,25.479454
276,112.464144,27.546652,21.578121
277,112.431160,30.126720,20.712097
278,112.323105,30.752703,23.855629
279,112.356168,28.851658,26.879372
280,112.393435,26.325401,23.681866
281,112.460993,29.494921,23.823044
282,112.259161,28.741459,26.212637
283,112.279678,27.056530,24.378895
284,112.316025,28.515739,23.005962
285,112.201505,26.179111,28.084831
286,112.253589,27.930216,21.505238
287,112.198342,26.255066,25.010046
288,112.279581,29.500177,23.154810
289,112.291096,30.596107,22.618397
290,112.323962,29.450844,26.369465
291,112.298822,29.253059,22.755306
292,112.225152,28.860193,24.725052
293,112.144485,29.837086,22.288551
294,112.106300,29.154293,25.135761
295,112.266111,30.971043,20.309652
296,112.177785,31.591017,20.373137
297,112.213905,28.072325,26.201735
298,112.081822,29.721415,25.008099
299,112.123852,28.950827,22.572624
300,112.059562,28.102779,24.006851
301,112.175632,28.795151,24.307194
302,112.249417,29.036800,20.605957
303,112.100687,30.762129,20.568840
304,112.043001,28.240643,22.446688
305,111.998171,26.617275,28.548916
306,112.179003,29.058573,21.170567
307,112.007360,29.072788,22.331459
308,112.110931,33.865292,19.719677
309,112.038989,28.360191,25.918751
310,112.056493,28.748625,26.932247
311,112.053060,30.390022,21.431652
312,111.921212,28.020731,25.173420
313,111.837552,27.344240,24.821732
314,111.871406,26.686476,24.221552
315,111.991619,29.305614,22.601448
316,111.974507,28.031277,22.412281
317,111.915531,28.895094,24.639244
318,112.063520,29.453579,24.987820
319,111.827021,28.725668,21.896132
320,111.794460,28.182175,21.218750
321,111.904729,28.685236,24.521107
322,112.041178,30.080893,25.303383
323,111.817271,30.977497,25.239477
324,112.001691,27.993269,27.934246
325,111.777330,26.933443,23.704151
326,111.912642,30.530293,26.343266
327,111.711732,29.545219,24.735945
328,111.962403,31.246956,20.284351
329,111.934979,28.837242,24.656309
330,111.796982,27.917221,25.563660
331,111.713797,29.367748,24.337856
332,111.658812,28.586111,26.676491
333,111.631733,27.859348,26.359688
334,111.657694,28.868441,21.935593
335,111.704687,28.626202,23.591085
336,111.665566,25.845282,27.186855
337,111.717452,28.763987,23.861439
338,111.751442,28.754837,27.887543
339,111.853035,27.074398,28.330662
340,111.516691,29.205067,24.297871
341,111.766296,29.676304,22.802223
342,111.701714,28.871351,24.748022
343,111.778421,27.859428,26.687630
344,111.738554,30.125088,25.114799
345,111.645258,30.728958,20.364431
346,111.713731,27.911074,25.278679
347,111.552182,29.199209,25.286934
348,111.703223,28.932739,25.804062
349,111.777999,28.834179,23.955006
350,111.587233,28.784485,24.521641
351,111.659707,28.195024,27.336926
352,111.481542,27.363554,28.400946
353,111.596284,31.326397,24.563368
354,111.588373,27.098972,25.867985
355,111.499241,28.849276,20.871538
356,111.587592,30.348848,24.164614
357,111.540081,28.914347,24.357271
358,111.530686,28.860870,25.831799
359,111.452115,27.942875,24.765743
360,111.462467,28.053360,25.986526
361,111.523546,27.404316,24.408064
362,111.358119,27.844383,23.986597
363,111.446756,30.259398,24.776388
364,111.505712,27.824100,24.100544
365,111.583336,27.503613,21.964361
366,111.457666,29.920662,23.830605
367,111.367441,29.935314,23.593126
368,111.537069,27.712627,23.322535
369,111.431177,28.571178,21.308216
370,111.451932,30.904009,24.887188
371,111.438187,28.894350,23.080280
372,111.389326,28.085426,24.819820
373,111.259328,27.471416,23.339279
374,111.313164,30.196863,24.298382
375,111.380826,30.987148,23.774820
376,111.361024,26.021097,24.873848
377,111.325331,31.413357,25.371790
378,111.278932,26.695137,25.667473
379,111.302430,26.728237,24.270233
380,111.359653,26.875568,25.745289
381,111.409371,28.426849,25.186432
382,111.247496,26.466473,26.651680
383,111.268184,26.543489,32.697716
384,111.321365,29.369434,22.090879
385,111.188956,26.656191,26.467735
386,111.373340,29.064960,23.147243
387,111.329826,29.211773,26.371662
388,111.165920,25.412575,27.741837
389,111.109818,28.496067,25.201412
390,111.215790,28.683186,24.684893
391,111.101856,28.538845,26.131466
392,111.372024,28.617775,24.677155
393,111.126201,27.041321,25.584293
394,111.139841,27.971769,27.052254
395,111.182635,25.946934,25.473595
396,111.079885,27.892672,27.991241
397,111.223708,29.790228,22.468025
398,111.356134,28.946186,25.219975
399,111.077043,28.356100,23.451784
400,111.242981,29.459295,22.577400
401,111.182975,29.141075,25.192760
402,111.111244,26.430122,25.795458
403,111.157583,28.270411,24.266521
404,111.295418,27.737364,29.119123
405,111.036720,26.360571,29.751966
406,110.961471,29.752514,28.248955
407,111.291606,28.241835,23.579655
408,111.090641,28.086775,26.883316
409,111.036176,29.922535,20.825165
410,111.259984,28.514889,25.605419
411,111.026401,27.014395,23.821503
412,111.025639,26.660034,25.979050
413,111.046612,28.041189,27.823532
414,111.165090,27.231518,28.027790
415,110.982087,29.088242,23.089777
416,110.973728,29.432779,24.694180
417,111.010958,30.020514,22.938969
418,110.954464,28.317190,25.346531
419,111.033924,29.373703,25.007999
420,111.106241,29.998196,24.709488
421,110.940571,28.454914,27.520138
422,110.965676,29.750515,22.426981
423,111.080454,29.487465,26.196918
424,110.956016,26.148790,28.213745
425,110.882181,28.622654,25.822678
426,110.946820,27.945839,28.741814
427,110.800750,26.305983,34.385017
428,111.015833,27.970579,26.488297
429,110.991875,27.926561,24.293461
430,110.802700,29.671417,26.839899
431,110.778742,27.984846,27.448162
432,110.925074,28.493692,21.740288
433,110.915824,27.741543,27.983097
434,110.901925,27.503120,23.265184
435,111.012233,28.726639,26.066837
436,110.939046,29.672276,23.596239
437,110.967261,30.946072,24.202785
438,110.991590,29.704672,26.715599
439,110.905444,29.170540,30.499928
440,110.899218,29.411390,22.663530
441,110.891367,28.405891,26.813301
442,110.819283,27.279663,26.205343
443,110.865875,28.541458,27.192841
444,110.876756,28.257389,25.199205
445,110.864994,28.686745,25.556459
446,110.741657,29.408550,28.722168
447,110.817643,29.023161,28.406086
448,110.787200,28.411816,25.765543
449,110.653761,29.166662,25.609928
450,110.920324,28.407944,25.063898
451,110.741170,26.951605,30.187780
452,110.908379,28.748812,24.928841
453,110.735946,30.465784,25.674940
454,110.795215,30.749096,21.373817
455,110.872234,26.411091,27.350092
456,110.777787,26.252426,29.616821
457,110.860358,26.563742,25.076410
458,110.772419,27.928310,27.496555
459,110.635132,28.774433,28.212818
460,110.646326,27.754715,28.413097
461,110.802821,28.256245,29.247192
462,110.571176,28.617615,26.974781
463,110.779837,29.064674,25.512827
464,110.704829,29.000004,24.910797
465,110.747492,28.697525,32.584606
466,110.629415,28.221384,22.693989
467,110.777899,27.909012,29.253050
468,110.586757,27.556417,28.600897
469,110.691390,28.851028,29.147861
470,110.657321,27.764198,24.828255
471,110.555923,29.166241,23.545689
472,110.686261,30.089413,29.280979
473,110.643445,28.007036,26.923750
474,110.708808,30.114235,26.298893
475,110.709935,27.606243,30.064774
476,110.529429,28.161129,25.110672
477,110.652367,27.736862,28.055815
478,110.544036,27.818304,26.694786
479,110.556415,28.261723,28.562145
480,110.672965,26.938011,26.051220
481,110.629575,27.073734,29.453829
482,110.576406,26.345253,27.991634
483,110.633695,27.044544,27.391132
484,110.464878,27.345272,35.014191
485,110.526993,29.540867,23.174362
486,110.705468,28.167374,29.775913
487,110.567922,26.421831,30.465778
488,110.470724,29.581749,28.665422
489,110.525519,28.451696,22.755970
490,110.459371,25.226135,28.035555
491,110.579002,30.120842,23.699286
492,110.545008,29.353630,28.303822
493,110.577376,28.175749,32.064621
494,110.528663,28.482254,24.843864
495,110.627434,30.496487,27.567234
496,110.642960,29.416227,25.199215
497,110.608097,29.501650,25.296349
498,110.377164,27.354662,30.302380
499,110.413425,27.018742,27.767862
500,110.594772,28.876348,24.743835

Training completed at 2025-04-03 07:49:27
